
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {186}	Yes	32.680	-4.963	3.41	25.22	62.04	9.33	
Spectrum 1 {187}	Yes	37.180	-4.963	1.68	32.98	63.37	1.97	
Spectrum 1 {188}	Yes	41.680	-4.963	1.65	34.60	63.26	0.50	
Spectrum 1 {189}	Yes	46.182	-4.963	2.39	33.62	63.78	0.22	
Spectrum 1 {190}	Yes	-43.810	-0.463	1.28	11.59	0.54	86.59	
Spectrum 1 {191}	Yes	-39.307	-0.463	2.01	10.50	0.45	87.04	
Spectrum 1 {192}	Yes	-34.807	-0.463	2.30	12.88	0.63	84.18	
Spectrum 1 {193}	Yes	-30.308	-0.463	1.22	11.04	2.15	85.60	
Spectrum 1 {194}	Yes	-25.808	-0.463	0.75	11.41	6.33	81.51	
Spectrum 1 {195}	Yes	-21.310	-0.463	2.55	11.39	10.85	75.21	
Spectrum 1 {196}	Yes	-16.809	-0.463	3.01	12.13	15.61	69.25	
Spectrum 1 {197}	Yes	-12.309	-0.463	2.28	11.34	20.82	65.56	
Spectrum 1 {198}	Yes	-7.809	-0.463	1.33	11.63	25.87	61.17	
Spectrum 1 {199}	Yes	-3.307	-0.463	3.47	11.58	30.29	54.65	
Spectrum 1 {200}	Yes	1.180	-0.463	2.02	12.36	35.93	49.69	
Spectrum 1 {201}	Yes	5.681	-0.463	2.13	12.41	41.29	44.17	
Spectrum 1 {202}	Yes	10.182	-0.463	3.36	12.31	46.41	37.92	
Spectrum 1 {203}	Yes	14.682	-0.463	4.06	13.53	50.91	31.50	
Spectrum 1 {204}	Yes	19.180	-0.463	2.50	15.88	56.01	25.61	
Spectrum 1 {205}	Yes	23.681	-0.463	3.58	18.40	59.44	18.58	
Spectrum 1 {206}	Yes	28.179	-0.463	2.22	24.07	63.52	10.20	
Spectrum 1 {207}	Yes	32.681	-0.463	2.41	31.61	63.72	2.26	
Spectrum 1 {208}	Yes	37.182	-0.463	2.66	33.50	63.50	0.35	
Spectrum 1 {209}	Yes	41.682	-0.463	1.94	32.71	65.02	0.33	
Spectrum 1 {210}	Yes	46.181	-0.463	3.03	31.95	64.85	0.17	
Spectrum 1 {211}	Yes	-43.810	4.023	2.10	10.95	0.61	86.34	
Spectrum 1 {212}	Yes	-39.309	4.023	-0.02	13.79	0.95	85.29	
Spectrum 1 {213}	Yes	-34.809	4.023	1.68	12.74	2.09	83.49	
Spectrum 1 {214}	Yes	-30.310	4.023	1.49	11.12	6.07	81.31	
Spectrum 1 {215}	Yes	-25.809	4.023	2.68	11.91	10.73	74.68	
Spectrum 1 {216}	Yes	-21.310	4.023	1.79	11.57	15.60	71.04	
Spectrum 1 {217}	Yes	-16.808	4.023	1.71	11.53	20.28	66.48	
Spectrum 1 {218}	Yes	-12.308	4.023	3.45	12.31	24.61	59.64	
Spectrum 1 {219}	Yes	-7.809	4.023	2.64	10.14	30.49	56.73	
Spectrum 1 {220}	Yes	-3.308	4.023	1.70	11.32	35.75	51.23	
Spectrum 1 {221}	Yes	1.181	4.023	2.17	12.22	40.49	45.13	
Spectrum 1 {222}	Yes	5.680	4.023	2.26	13.43	45.67	38.64	
Spectrum 1 {223}	Yes	10.182	4.023	2.79	13.40	51.27	32.55	
Spectrum 1 {224}	Yes	14.679	4.023	1.80	15.37	56.53	26.29	
Spectrum 1 {225}	Yes	19.181	4.023	2.96	18.43	59.35	19.26	
Spectrum 1 {226}	Yes	23.680	4.023	3.40	22.80	62.99	10.81	
Spectrum 1 {227}	Yes	28.180	4.023	2.32	30.34	64.70	2.64	
Spectrum 1 {228}	Yes	32.682	4.023	3.23	31.86	64.62	0.29	
Spectrum 1 {229}	Yes	37.182	4.023	1.25	31.80	66.74	0.21	
Spectrum 1 {230}	Yes	41.680	4.023	1.15	31.50	67.26	0.09	
Spectrum 1 {231}	Yes	46.180	4.023	1.83	31.13	66.94	0.11	
Spectrum 1 {232}	Yes	-43.811	8.519	1.08	11.99	0.91	86.01	
Spectrum 1 {233}	Yes	-39.307	8.519	0.73	11.67	2.13	85.47	
Spectrum 1 {234}	Yes	-34.808	8.519	0.78	10.65	5.97	82.60	
Spectrum 1 {235}	Yes	-30.310	8.519	2.15	12.03	10.36	75.46	
Spectrum 1 {236}	Yes	-25.808	8.519	2.32	13.16	14.75	69.77	
Spectrum 1 {237}	Yes	-21.308	8.519	2.51	11.03	19.87	66.59	
Spectrum 1 {238}	Yes	-16.807	8.519	1.86	11.21	25.02	61.91	
Spectrum 1 {239}	Yes	-12.308	8.519	2.74	13.46	29.35	54.44	
Spectrum 1 {240}	Yes	-7.809	8.519	2.83	12.13	34.69	50.35	
Spectrum 1 {241}	Yes	-3.307	8.519	3.34	10.46	40.49	45.71	
Spectrum 1 {242}	Yes	1.181	8.519	2.97	11.84	45.60	39.58	
